, 29_11.6_p1, 29_11.6_p2, 29_11.6_p3, 29_11.6_r1, 29_11.6_r2, 29_11.6_r3, 29_5.5_p1, 29_5.5_p2, 29_5.5_p3, 29_5.5_r1, 29_5.5_r2, 30_15.5_p1, 30_15.5_p2, 30_15.5_p3, 30_15.5_r1, 30_15.5_r2, 30_15.5_r3, 30_5_p1, 30_5_p2, 30_5_p3, 30_5_r1, 30_5_r2, 30_5_r3, 30_b_p1, 32_45_r2, 32_15_p1, 32_15_p2, 32_15_p3, 32_15_r1, 32_15_r2, 32_15_r3, 32_45_p1, 32_45_p2, 32_45_p3, 32_45_r1, 32_45_r2, 32_45_r3, md_p1, md_p2, md_p3, md_r1, md_r2, md_r3
"Acetic acid, butyl ester",0.15,0.67,0.15,0.15,0.39,0.61,0.31,0.45,0.69,0.1,0.1,2.78,1.5,1.52,0.42,0.5,0.27,0.34,0.39,0.63,0.07,0.12,0.13,0.08,0.49,0.35,0.26,0.56,0.19,0.2,0.27,0.64,0.68,2.61,0.32,0.49,0.86,0.64,0.24,0.53,0.29,0.3,0.17
Hexanal,1.57,2.92,1.02,0.37,1.92,1.02,3.21,4.53,8.96,1.2,1.73,3.7,1.62,1.63,0.13,0.23,0.2,0.85,1.14,1.42,0.2,0.16,0.13,0.75,0.07,0.92,0.8,1.32,0.17,0.16,0.14,1.3,1.8,3.47,0.08,0.07,0.16,3.16,0.95,1.75,0.19,0.4,0.16
"1-Butanol, 2-methyl-, ac",0.43,1.79,0.41,0.32,0.71,1.0,4.92,7.1,11.82,2.2,2.38,6.05,2.93,3.06,0.52,0.61,0.34,0.89,1.0,1.28,0.16,0.29,0.3,1.39,0.57,1.29,1.26,2.69,0.61,0.6,0.89,1.51,1.81,6.05,0.48,0.57,1.17,2.25,0.75,1.76,0.68,0.75,0.41
"4-Pentenal, 2-methyl-",0.09,0.7,0.15,0.0,0.0,0.0,0.0,1.95,4.57,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-Butanol,0.12,0.0,0.06,0.11,0.0,0.25,0.3,0.43,0.58,0.0,0.16,1.57,0.85,0.99,0.23,0.3,0.16,0.14,0.2,0.18,0.03,0.06,0.06,0.0,0.27,0.29,0.39,0.48,0.14,0.14,0.15,0.34,0.34,1.18,0.14,0.27,0.43,0.35,0.17,0.44,0.2,0.21,0.11
"Acetic acid, pentyl este",0.04,0.21,0.05,0.02,0.07,0.08,0.14,0.23,0.34,0.0,0.03,0.44,0.31,0.23,0.04,0.05,0.03,0.11,0.12,0.19,0.02,0.03,0.03,0.06,0.06,0.1,0.05,0.17,0.03,0.03,0.05,0.12,0.16,0.51,0.04,0.06,0.1,0.15,0.05,0.12,0.05,0.06,0.03
"1-Butanol, 2-methyl-",0.08,0.33,0.08,0.15,0.13,0.28,1.8,3.65,4.57,2.03,2.15,1.15,0.67,0.64,0.2,0.26,0.14,0.28,0.17,0.0,0.05,0.1,0.08,0.36,0.23,0.88,0.65,0.94,0.25,0.28,0.31,0.27,0.4,1.02,0.12,0.23,0.39,0.45,0.18,0.47,0.26,0.3,0.15
"2-Hexenal, (E)-",0.09,0.29,0.09,0.0,0.18,0.08,0.61,1.27,2.09,0.16,0.0,0.28,0.11,0.12,0.0,0.0,0.0,12.58,0.11,0.15,0.0,1.56,0.01,0.07,0.01,0.09,0.12,0.0,0.01,0.0,0.0,0.08,0.0,0.25,0.0,0.01,0.0,0.13,0.05,0.13,0.01,0.03,0.01
"Butanoic acid, butyl est",0.12,0.44,0.1,0.0,0.0,0.0,1.02,1.6,2.93,0.0,0.0,2.57,1.15,1.23,0.04,0.05,0.03,0.48,0.54,1.01,0.01,0.02,0.02,0.1,0.07,0.0,0.37,0.68,0.04,0.04,0.05,1.13,1.37,4.02,0.06,0.07,0.12,0.91,0.26,0.66,0.07,0.1,0.05
2-Hexenal,10.43,18.56,7.26,2.26,0.0,0.0,39.82,70.21,107.68,11.76,14.59,29.66,15.62,14.53,0.67,1.27,0.83,0.0,14.93,0.0,1.55,0.0,1.41,5.07,0.0,0.0,9.6,12.8,0.99,1.04,0.96,7.5,9.43,24.97,0.64,0.0,1.54,16.93,5.91,12.37,1.46,2.96,1.15
Butyl 2-methylbutanoate,0.25,0.59,0.19,0.0,0.0,0.0,1.87,2.83,4.94,0.0,0.0,8.64,3.63,4.06,0.08,0.09,0.05,0.0,1.49,0.0,0.0,0.0,0.04,0.24,0.0,0.0,0.93,1.43,0.05,0.0,0.06,1.61,2.0,5.04,0.08,0.0,0.13,1.64,0.46,1.23,0.07,0.12,0.05
"Acetic acid, hexyl ester",1.41,6.45,1.48,0.46,0.8,0.77,0.98,1.61,2.91,0.1,0.12,2.59,1.32,1.37,0.1,0.12,0.07,0.88,1.0,1.38,0.09,0.14,0.13,0.54,0.3,1.01,0.91,1.81,0.21,0.22,0.3,1.73,1.96,6.77,0.22,0.3,0.45,1.62,0.53,1.4,0.38,0.52,0.25
"Butanoic acid, 2-methyl-",0.07,0.15,0.06,0.05,0.0,0.04,0.48,0.7,8.44,0.06,0.05,1.59,0.72,0.76,0.01,0.01,0.09,0.36,0.47,0.58,0.03,0.07,0.01,0.06,0.01,0.25,0.27,0.46,0.04,0.04,0.06,0.03,0.04,0.12,0.02,0.01,0.01,0.12,0.03,0.09,0.02,0.02,0.01
"3-Hexen-1-ol, acetate, (",0.04,0.29,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Hexen-1-ol, acetate, (",0.14,1.04,0.2,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.24,1.31,0.02,0.0,0.04,0.44,0.16,0.0,0.02,0.03,0.0
"Propanoic acid, hexyl es",0.31,0.78,0.25,0.0,0.0,0.0,1.06,1.78,3.46,0.0,0.0,0.33,0.17,0.17,0.0,0.0,0.0,0.33,0.37,0.49,0.0,0.0,0.0,0.48,0.0,0.31,0.28,0.52,0.01,0.0,0.0,0.64,0.75,1.95,0.0,0.0,0.0,0.59,0.17,0.45,0.0,0.0,0.0
"5-Hepten-2-one, 6-methyl",0.08,0.0,0.0,0.0,0.0,0.03,0.21,0.38,0.77,0.09,0.14,0.59,0.27,0.33,0.01,0.03,0.01,0.08,0.0,0.13,0.02,0.04,0.04,0.05,0.01,0.08,0.21,0.17,0.02,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.34,0.1,0.28,0.03,0.03,0.02
1-Hexanol,0.37,1.29,0.32,0.4,0.57,1.25,0.3,0.6,0.71,0.31,0.31,0.76,0.36,0.21,0.11,0.15,0.07,0.12,0.18,0.18,0.08,0.13,0.13,0.1,0.36,0.28,0.45,0.49,0.23,0.26,0.28,0.38,0.48,1.28,0.19,0.36,0.55,0.41,0.12,0.22,0.33,0.38,0.19
